Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Position_ID,Industry,LDA_Topic,Raw_Text,Cluster,TSNE_1,TSNE_2
0.0016697271738724,0.0016486531652889,0.7768513852622638,0.0016632714613318,0.218166962937243,0,Education,2,job responsibilities take task teaching high school information technology courses job requirements graduated normal college bachelor 's degree possess high school information technology teacher qualification certificate practical experience network system maintenance use technology ability compile develop use software high school office systems teaching management systems examination systems technology use maintain multimedia technology strong communication coordination skills good sense organization discipline strictly abide school 's work system discipline work seriously steadily responsibly experience school equipment maintenance network maintenance teaching equipment maintenance preferred good health good mentality strong sense responsibility benefits complete salary benefits five insurances one fund regular training paid vacations holiday allowances tuition discounts children faculty staff annual salary adjustments made employees salaries regularly every year based changes salary levels personal performance benefits birthday benefits free library fitness activity center,1,-21.573082,-5.720748
0.017070555989346,0.0167807520342664,0.5883363853771848,0.0168306488076736,0.3609816577915289,1,Education,2,job responsibilities computer major job requirements bachelor 's degree job benefits 7000,1,5.9517035,-3.597785
0.0069549417940943,0.0069450496288186,0.9721580473526628,0.0070016528557791,0.006940308368645,2,Education,2,high school general information technology teacher required able serve class teacher assist director information center solving school information construction tasks maintenance multimedia blackboards maintenance computers daily use lecture halls,1,-36.789227,-8.264688
0.0010267332392184,0.0010150533399948,0.8034034920556478,0.0010327593453251,0.1935219620198137,3,Education,2,"job responsibilities responsible teaching implementation complete teaching high school information technology courses according school requirements curriculum development participate school-based curriculum development update teaching content combination forefront subject student competition guidance organize guide students participate various science technology innovation competitions programming competitions olympic competitions activities participate teaching research activities subject group regularly conduct open classes listen classes evaluate classes optimize teaching methods school information construction management campus network maintenance teaching equipment management teacher information technology application ability training etc complete teaching work related academic level examination cooperate school complete tasks related education informatization job requirements high school information technology teaching experience computer science technology educational technology software engineering communication engineering related majors preferred experience school information construction overall management preferred strong expression skills good communicating students parents clear organized flexible thinking positive attitude integrity benefits annual salary comprehensive income full-time teachers subject starts 120,000 yuan comprehensive annual income backbone teachers starts 200,000 yuan school give special treatment particularly outstanding teachers specific interviews required benefits enjoy five insurances one fund school provides single apartments enjoy school 's comprehensive training system promotion opportunities salary increase channels enjoy national statutory holidays paid winter summer vacations enjoy 50 tuition reduction teachers children studying schools group",1,-22.2326,-5.7020364
0.0033688865171996,0.0033441411158754,0.9865982033229912,0.0033451765790067,0.0033435924649271,4,Education,2,information technology teachereducation qualifications bachelor degree major computer educational technology related majors hold primary school information technology teacher qualification certificateprofessional ability familiar programming teaching scratch python able carry courses artificial intelligence maker education master multimedia courseware production technology equipment maintenance network management capabilitiespreferred conditions experience guiding robot competitions obtain computer qualification certificates able develop school-based information technology courses,1,-40.51932,-11.731025
0.006558341498056,0.0065290581489201,0.9737814555034112,0.0065472897136652,0.0065838551359472,5,Education,2,job responsibilities responsible high school information technology teaching feedback parents teaching content students mastery improve students situation fill gaps requirements relevant teaching experience accept outstanding fresh graduates preference given teaching qualifications,1,-37.10563,-8.518438
0.0200867143133587,0.0200154748678332,0.9197193803975836,0.0200754539806609,0.0201029764405633,6,Education,2,graduates undergraduate degree obtained high school teacher qualification certificate,1,-30.751427,-3.8454328
0.0051155076201295,0.0050193627393903,0.8570238616460285,0.0052066500115485,0.1276346179829031,7,Education,2,due development needs recruiting several tutoring teachers requirements high school information technology follows bachelor 's degree least half year teaching experience solid knowledge meticulous patient work strong execution good teaching students accordance aptitude full responsibility good communication skills teaching qualifications given priority preferential treatment,1,-24.196383,-5.4863515
0.0106560367127696,0.0105594849986405,0.9575638145563116,0.010598799502608,0.01062186422967,8,Education,2,responsible teaching high school information technology courses regularly participate teaching research training centralized lesson preparation lectures meetings activities,1,-34.235233,-6.723798
0.0223081947511033,0.0223140851426267,0.9107964217215458,0.0223260494466198,0.0222552489381044,9,Education,2,responsible teaching information technology courses serving class teacher,1,-30.013731,-3.6362264
0.0034453674173844,0.0034004211614209,0.9862964753565382,0.0034221562823231,0.0034355797823332,10,Education,2,job responsibilities responsible teaching computer network courses technical secondary school serving class teacher work assigned school job requirements computer major strong language organization skills fluent mandarin solid professional knowledge love education love education good health honesty trustworthiness good conduct dedication students patience students management ability obey work arrangements actively conscientiously complete various tasks strong sense responsibility meticulous work,1,-40.91043,-10.952397
0.013414808608656,0.013345290530455,0.9464548197001454,0.0133982531912677,0.0133868279694757,11,Education,2,teach high school information technology courses computer application related majors teaching certificate teaching experience,1,-32.909763,-5.9111767
0.0116382498860065,0.0111883191794433,0.9545686467688798,0.0113080837919111,0.011296700373759,12,Education,2,responsible high school information technology selection examination tutoring one-on-one multiple improvement offline teaching adopt cooperative model must experience teaching,1,-34.17507,-5.9764557
0.0011528724878726,0.0011311049977952,0.6110286753370103,0.3206092801566933,0.0660780670206284,13,Education,2,"looking education dreamers embarking new journey spring college entrance examination love education eager shine podium solid general technology information technology expertise look forward passing students looking institution dedicated providing students quality education recruiting general technology information technology teachers spring college entrance examination position advantages professional growth platform provide rich teaching resources professional training help continuously improve teaching level excellent teamwork grow together group teachers passionate education innovative spirit share teaching experience broad development space opportunity participate teaching reform curriculum development opening possibilities career development job requirements bachelor degree general technology information technology related majors familiar spring college entrance examination syllabus proposition trends good communication skills teamwork spirit able stimulate students interest learning strong sense responsibility professionalism committed contributing future development students fresh graduates 2023 2024 work address kunming vocational college art benefits comprehensive 4,000-6,000 yuan/month competitive salary performance bonus salary basic salary commission direct payment class fees comfortable working environment good office facilities colorful faculty activities team building educational dream eager show talents stage spring college entrance examination n't hesitate join us let us work together future students create better education tomorrow",1,-13.559001,-12.499679
0.0048703005640757,0.2693612784745758,0.7161551848647085,0.0048058297876297,0.0048074063090102,14,Education,2,high school information teacherjob responsibilities serving subject teacher class teacher according school needsqualifications bachelor degree related majors teacher qualification certificatehighly identify hailiang 's educationgood communication expression skills innovative abilitylove education love students optimistic enterprising responsible responsible contagiousgood continuous learning self-learning ability,1,-25.050743,1.6042807
0.0145424513589832,0.0146598956407073,0.4470408780451265,0.5092871152123533,0.0144696597428295,15,Education,3,job requirements patiently discover children 's problems help improve scores experience graduating classes required,3,-11.05057,-15.488763
0.0027774206834262,0.0027169436102742,0.9890035630660944,0.0027380843781613,0.0027639882620436,16,Education,2,main responsibilities design implement series ai courses suitable primary secondary school students leverage latest ai technologies tools provide students practical learning experiences requirements bachelor 's degree ai related fields 1 year teaching experience ai computer science background preferred familiar ai basics technologies machine learning natural language processing good communication skills team spirit bonus points experience teaching programming languages ​​ experience organizing students participate ai-related competitions projects deep understanding educational technology able integrate new technologies teaching,1,-41.893986,-12.390762
0.0338667422778047,0.0335094117291889,0.8644079168199192,0.034587528269188,0.0336284009038989,17,Education,2,part-time teacher on-campus teaching experience,1,-27.874668,-1.644197
0.0031875871581477,0.0031356527650726,0.9873791859923998,0.0031477637744021,0.0031498103099775,18,Education,2,job descriptionresponsible teaching lesson preparation high school information technology courses maintain school network system ensure network security smooth operation participate various information technology related activities organized school maintain good communication students parents pay attention students learning progress job requirements three years experience high school information technology teaching able complete teaching tasks independently good classroom management skills love education industry patience responsibility able stimulate students interest learning,1,-41.177284,-11.650809
0.033560361301329,0.0334272278208291,0.8659117131477885,0.0335450719921603,0.033555625737893,19,Education,2,serious responsible high school teaching certificate,1,-27.703094,-2.3815913
