Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Position_ID,Industry,LDA_Topic,Raw_Text
0.0016697271738724485,0.001648653165288918,0.7768513852622638,0.0016632714613318705,0.21816696293724308,0,Education,2,job responsibilities take task teaching high school information technology courses job requirements graduated normal college bachelor 's degree possess high school information technology teacher qualification certificate practical experience network system maintenance use technology ability compile develop use software high school office systems teaching management systems examination systems technology use maintain multimedia technology strong communication coordination skills good sense organization discipline strictly abide school 's work system discipline work seriously steadily responsibly experience school equipment maintenance network maintenance teaching equipment maintenance preferred good health good mentality strong sense responsibility benefits complete salary benefits five insurances one fund regular training paid vacations holiday allowances tuition discounts children faculty staff annual salary adjustments made employees salaries regularly every year based changes salary levels personal performance benefits birthday benefits free library fitness activity center
0.01707055598934606,0.01678075203426649,0.5883363853771848,0.016830648807673636,0.3609816577915289,1,Education,2,job responsibilities computer major job requirements bachelor 's degree job benefits 7000
0.006954941794094306,0.006945049628818603,0.9721580473526628,0.00700165285577915,0.006940308368645074,2,Education,2,high school general information technology teacher required able serve class teacher assist director information center solving school information construction tasks maintenance multimedia blackboards maintenance computers daily use lecture halls
0.0010267332392184282,0.0010150533399948464,0.8034034920556478,0.0010327593453251412,0.19352196201981375,3,Education,2,"job responsibilities responsible teaching implementation complete teaching high school information technology courses according school requirements curriculum development participate school-based curriculum development update teaching content combination forefront subject student competition guidance organize guide students participate various science technology innovation competitions programming competitions olympic competitions activities participate teaching research activities subject group regularly conduct open classes listen classes evaluate classes optimize teaching methods school information construction management campus network maintenance teaching equipment management teacher information technology application ability training etc complete teaching work related academic level examination cooperate school complete tasks related education informatization job requirements high school information technology teaching experience computer science technology educational technology software engineering communication engineering related majors preferred experience school information construction overall management preferred strong expression skills good communicating students parents clear organized flexible thinking positive attitude integrity benefits annual salary comprehensive income full-time teachers subject starts 120,000 yuan comprehensive annual income backbone teachers starts 200,000 yuan school give special treatment particularly outstanding teachers specific interviews required benefits enjoy five insurances one fund school provides single apartments enjoy school 's comprehensive training system promotion opportunities salary increase channels enjoy national statutory holidays paid winter summer vacations enjoy 50 tuition reduction teachers children studying schools group"
0.0033688865171996253,0.003344141115875445,0.9865982033229911,0.0033451765790067788,0.003343592464927122,4,Education,2,information technology teachereducation qualifications bachelor degree major computer educational technology related majors hold primary school information technology teacher qualification certificateprofessional ability familiar programming teaching scratch python able carry courses artificial intelligence maker education master multimedia courseware production technology equipment maintenance network management capabilitiespreferred conditions experience guiding robot competitions obtain computer qualification certificates able develop school-based information technology courses
0.0065583414980560795,0.006529058148920151,0.9737814555034113,0.006547289713665283,0.006583855135947207,5,Education,2,job responsibilities responsible high school information technology teaching feedback parents teaching content students mastery improve students situation fill gaps requirements relevant teaching experience accept outstanding fresh graduates preference given teaching qualifications
0.02008671431335876,0.020015474867833245,0.9197193803975837,0.020075453980660962,0.02010297644056339,6,Education,2,graduates undergraduate degree obtained high school teacher qualification certificate
0.0051155076201295354,0.005019362739390343,0.8570238616460285,0.00520665001154856,0.1276346179829031,7,Education,2,due development needs recruiting several tutoring teachers requirements high school information technology follows bachelor 's degree least half year teaching experience solid knowledge meticulous patient work strong execution good teaching students accordance aptitude full responsibility good communication skills teaching qualifications given priority preferential treatment
0.010656036712769698,0.01055948499864058,0.9575638145563115,0.010598799502608064,0.010621864229670085,8,Education,2,responsible teaching high school information technology courses regularly participate teaching research training centralized lesson preparation lectures meetings activities
0.02230819475110332,0.02231408514262672,0.9107964217215458,0.022326049446619825,0.022255248938104412,9,Education,2,responsible teaching information technology courses serving class teacher
